content,score
semoga aplikasi vidio tetap seperti ini gratis untuk menonton sinetron dan FTV meskipun iklan gpp yg penting gratis jgn kayak aplikasi vision+ Ama RCTI+ nonton sinetron aja bayar astaga pdhl nonton juga pake kuota sendiri masa masih suruh bayar,5
ngelag bangettttt,1
tolong dong perbaiki episode ggs banyak yang ga berurutan jadi males nonton nyaa,5
ok,5
"sudah pakai wifi di suruh beli paket aneh,dulu kalau sudah pakai wifi nggk perlu beli paket segala,yg punya pengen cepat kaya🤣🤣🤣",1
mantaab,4
main ngambil uang orang,1
tidak ada beda nya berlangganan mau pun tidak langganan tetap banyak iklan nya kalau liat TV,1
lumayan baguss,4
satu aja kecewa iklannya menyajikan film sizing2017 ( manusia mini) ternyata setelah di download mau di tontong malah gk ada filmnya. tipu tipu saja apk vidio ini,1
ok,5
"tlong di perbaiki lagi masa baru puter sebentar langsung ada iklan ganggu banget uda bikin aku ga mood karna iklan terlalu banyak, dan ngelag padahal wifi lancar aman2 aja tapi kenapa ngelag bgt muter trus pas di paus di lanjutin lagi malah iklan gajelas banget",1
kenapa tiba tiba ngebug hape lngsung mati total ga bisa diapa apain layar jadi hitam semua ga bisa dibalikin ga bisa dipencet apa apa power juga ga bisa,1
Terima kasih,5
sayaa beli paket pulsa sudah ke potong n sukses tapi paket di vidio malah gak aktif,1
"aplikasi mobile saat ini Tidak bisa login dengan nomor telepon, selalu di arahkan ke akun google... bagaimana saya bisa masuk???",1
kebanyakan olahraga voli doang.. gk jelas,1
"tolong saya tidak bisa login pakai nomor hp, padahal sudah premium huhu",1
apaan aku udah langganan tapi episode anime nya ga lengkap nyesel aku anjim,1
"oke,,,",5
Keren Bangad 👍👍,5
aplikasi mantap,3
"bagus banget lumayan banyak filmnya, banyakin lagi filmnya biar gw kasih bintang 5",3
"ini knp dah layar cuma item nonton series eps 1-2 aman"" aja pas eps 3 cuma item gda gambar, cuma ada suara doang",1
aplikasi ini bagus bagus aja pas aku download aku seneng bangett buat nonton tapi tiba tiba ada timer premium dan ternyata aplikasi berbayar aku di situ sedih banget karna aplikasi nya berbayar untuk developer nya tolong aplikasi nya jangan di buat berbayar kasihan kita yang ga punya duit untuk buat itu atau mungkin kita butuh duit untuk hal lain pas mau nonton eh harus bayar sedihh itu aja yang aku saranin ke developer nya aplikasi nya bagus kok saran aku jangan berbayar aja yaa developer,5
saldo dana saya sudah terpotong sebesar 49rb tapi paket saya ga aktif gimana dong???,1
"terima kasihh udah respon yaa, sekarang aku lebih tenang dan seru nonton nyaa🤍💕",5
"dengan menggunakan aplikasi pln mobile,kami tidak kewalahan dengan masalah gangguan listrik.petugasnya ramah dan sopan dalam pelayanan kepada pelanggan.",5
memuaskan benget,5
gk bisa di buka gimn sih perbaiki lh jaringan saya GK lelet pun,1
video tidak bisa di akses padahal sudah beli paket,1
"rampok berkedok aplikasi ini, gada pemberitahuan langganan lanjut atau tidak, lagi urgent duit tiba² lenyap kepotong otomatis, dari apk udah di berhentikan langganan tetep aja di rampok",1
aplikasi nya bagus untuk nonton film,5
Keren 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
tidak bisa pakai pulsa later,4
"bagus,, mantap",5
Bagus banget deh pokoknya,5
bagus,5
aplikasi apaan ni... mau nonton moji aja kok di minta beli paket padahal udah pake wifi ... ini aplikasi gk berguna mending d copot aja deh,1
cocok buat nonton hibura dan olah raga serta berita,5
Untuk aplikasi memang sudh cukup bagus tp untuk akses siaran kenapa harus bayar lg padahal koneksi sudh aman2 sj & bisa tinggal login pake ID tp tetap tdk bisa akses siarannya apalg utk siaran langsung dari siaran olahraga,2
"aplikasi yang paling jelek yang aku temui dikit dikit bayar ,,,,, aplikasi miskin",1
tagihannya di gopay gak bisa di stop..,1
tiap mau buka canel masuk iklan begitu di ulang2...... pdahal kan dah topup..... masak msh ada itu iklan.....,3
aplikasi ini jelek banget tidak bisa putar film,1
mantap,5
"cape banget sama ni aplikasi, masa mau daftar pake no Hp baru ga bisa? kenapa si? setiap ngetik no HP nya trs daftar malah jawabannya "" PENDAFTARAN AKUN GAGAL, SILAHKAN GUNAKAN GOGGLE / EMAIL"" maslh nya aku berlangganan pake no baru itu jdi kesan nya sia-sia dong ya aku berlangganan klo ga bisa msuk? SIA-SIA BANGET DUIT GW BUAT LANGGANAN ADUHHHH",1
wow,5
bagus sangat membantu untuk mellihat tayangan TV,5
terlalu banyak iklan,2
"ko saya berlanggangan otomatis terpotong ya saldo saya? padahal tidak ada pemberitahuannya terlebih dahulu? ini tidak benar. saya tidak mau,dan tidak bisa menerima harap kemabaliman saldo dana saya yang anehnya ko bisa terpotong dengan sendirinya mending kalau kumplit film2nya? masih tetap kumplit netflik",1
"saya ga ngajuin paket apapun Krn lagi ga ada live Persib dan liga SDH selesai, ini knp saldo shopeepay saya Tiba2 lu potong via google play store utk bayar biaya langganan vidio blokkk ???? maksa banget lu saking ga ada pemasukan ya !!",1
mantap,5
keren,5
sering berlangganan tapi susah di pake tiketnya.,3
"min tolong dengarkan untuk eps anime bleach nya tidak lengkap cuman sampai eps 167 dan banyak juga yang masih tidak lengkap, jadi percuma beli paket nonton kalau kayak gini,untuk sekarang bintang 2 dulu nanti kalo udah diperbaiki kesalahannya baru bintang 5",2
Nyebelin!!!! Iklan mulu 🤕,1
"kenapa sekarang FTV terbaru gak ada, malah yang lama terus, padahal di SCTV tayang terus yang terbaru, tolong di update dan perbaiki",3
"gjls lu ga di apa""in duit gw di sedot 43k padahal ga dii prem in, gw buka aja enggak ga ni apk, gw ga ada nonton apa"" plis deh jgn asal sedot lu itu duit bukan mainan",1
mantap,5
"mudah belinya, tp jangan lemot ya",5
bagus bngat aplikasi nya,4
Good,5
kalau bisa di kasih bintang 10 aku kasih bintang 10,5
mau tanya mau nonton lanjut ke bab 2 langsung masuk ke pilih paket ya itu gimana maksudnya apa harus berlangganan,2
download apk ini untuk nonton Asmara Gen Z 🤍,5
"perpanjangan otomatis langganan ngerugiinn GK ada konfirmasi dlu main sedot"" aja saldo",1
"padahal udah berlangganan, otomatis saya bayar mengeluarkan uang, tapi post video/ film nya sangat lambat dari jam tayang, iklan juga banyak sekali, harusnya kalo udah bayar ya iklan di hilangkan dong, jadi tidak bisa menikmati apa yang lagi di tonton, mengganggu saja, tolong di rubah lagi sistem apk ini biar ga nyesal orang download apalagi berlangganan disini, jangan sampai karna sistem nya begini malah jadi buat orang kebanyakan lebih milih nonton bajakan.",1
"Mending semua pengguna aplikasi vidio hapus saja aplikasinya. bikin ribet sudah banyak bayaran, full iklan lagi.😈",1
muter muter aplikasinya seperti roda,3
nonton nya seru dan gk ngelek,5
sangat baik,5
minta pengembalian dana malah ditolak Mulu,1
mantap vidio ny kualitas bagus,5
oke,5
"halo kak, overall semuanya aman aja sih. cuma belakangan ini apk vidio nya gabisa saya buka kalo pake wifi, harus pake data terus. kira' kenapa ya?",4
saya ingin stop berlangganan,1
nggak bisa bayar pay per view menggunakan qris,1
awal make ni apk bagus tapi makin lama gk bisa di tonton siaran livenya gw nonton bola siaran langsung cuma nampilin tampil doang,4
INI KENAPA KOK MUTER² TERUS? BLM ADA SEJAM SAYA DOWNLOAD DAN BERLANGGANAN SUDAH DIBIKIN JENGKEL. PADAHAL JARINGAN SY KUAT. ANEHHH,2
kurang bagus aga kecewa sinyal ku bagus taipi kenapa kalao puter video gk setabil mutr2 trs,2
ukuran teks kenapa gak bisa diubah mohon info,3
"TV gratis, film2 gratis, lancar",5
"saya beli PPV via QRIS google play , tapi paket tidak terkirim atau tidak ada gmna jnj balikin dana saya",1
susah bgt di andoid box tv,1
iklan nya tiap 5 menit apk asu,1
kukira ada film invincible di sini 😹,3
aplikasi ini sangat membantu,5
"saya kemaren beli paket nonton di video yg masa keanggotaannya sd 9 juli 25, tp koq nggak bisa dipakai, mohon ditindaklanjuti",3
sangat bagus,4
"menurut ku bgus² aja sih nih apk, cmn kadang2 suka eror gjls jadi aku suka kesel sendiri sama nih apk...jdi tolong yang min di perbaoki lagi dan jangan terlalu di banyakin buff di vd nya makasih",4
aplikasinya bagus bangett,5
ok,5
terima kasih,5
aplksi nya bagus kok dan acaranya lengkap...,5
tolong jadikan aplikasi inih versi jadul lagi iyah yah setiap saya nonton video inih iklan terus iklan😐😐terus beh bosan ayo jadikan jadul lagih kalauh gitu hapus ulasan aplikasi rating saya juga sekian kalau tidak segera dihapus dan dijadikan jadul saya bakalan laporkan pihak google tolong yah🥺😫😭🥹🙏maaf diedit!kalau masih pakai fitur berbayar lebih baik dihapus sekian duluh,1
sbernya bagus aplikasinya tpi setiap ganti ep pasti ada iklan tlng jngn byk² iklan,3
"saya ksih 2 Star dlu yaa Min ,, saya install kembali karna buat nonton D Academi Indosiar ... jangan banyakin iklannya sama bug di perbaiki lagi karna sering ngelettt dan ksih murah dikit dong vidio premiumnyaaa yaaa... terimakasih",2
MAU NONTON TAPI KEBANYAKAN IKLAN SAMPE 58 MENIT HH GAJADI NONTON DEH IKLAN NYA KELAMAAN,1
iklan ganggu banget dah,1
terlalu banyak iklan,1
"aplikasi stress gila iklan banyak banget, udah mah 2 menit iklan nya gabisa di skip, ga lama muncul lagi. kacau",1
good aplikasi,5
redeem voucher gagal terus,2
trima kasih apk yg sngat membantu,5
"Saya beli paket platinum untuk Video di my Telkomsel. Pasi buka malah disuruh beli paket dulu. Mohon solusinya. Sy ganting nomor yg mash aktif tapi tidak bisa, masalah sperti ini bgmn mohon solusi.",2
"saya sudah beli paket berlangganan 1 bulan, tapi kenapa pas saya cek di 'paket saya' ko masih tetap harus berlangganan sih? padahal saldo dana sudah terpotong lho. tolong dong kenapa itu",1
aplikasi nya bagus,5
"mohon maaf izin bertanya, kenapa ftv terbaru tidak dipost di sini ya. dulu saya sering kesini untuk menonton ftv terbaru.",4
udah di daftarin tapi tetep ga bisa nonton serial dramanya bikin emosi,1
bagus cmn iklan ny ga ngotak bisa sampe 2 bahkan lebih sewajar nya aj kalo ngasih iklan 😊,2
"sudah berlangganan, berbayar, masih kena iklan juga, busuknya keterlaluan!",1
Di coba dulu,4
iklan dri apk nya kebanyakan,2
Ini aplikasi emang bagussss cuma dikit-dikit iklan,4
Amazing,5
jelek apknya GK bisa nonton full time,1
baik,5
RCTI kok ndak ada sich.. .,1
Oke,5
keren aku bisa liat tonton tv lagi karna tv ku rusak,5
Kecewa sih katanya aplikasi ini tidak berbayar tapi malah harus berbayar baru kali ini kecewa ama produk indonesia,2
oke,5
kebanyakan loading. sia sia bayar,1
ada pembayaran gak enak ep pertama nya memang gratis tapi selanjutnya harus bayar gimana sih lebih bagus melolo dari pada aplikasi ini gak bagus jelek,1
ko sekarang di apk vidio ngga bisa di pake di taiwan,1
"Tolong optimalkan lagi jaringan server VOD nya, sering banget buffering padahal sinyal wifi saya lancar. Jika tidak segera dibenahi mau tidak mau saya akan berhenti berlangganan aplikasi Vidio.",1
aku sangat puas dengan apk ini saya bisa nonton tv di hp semoga di balas ya,5
Perbanyak drama asing selain Korea,5
"kalo download app ini hanya utk streaming tv, oke aja. tapi kalo utk nonton film dan serial, ga banget deh! koleksinya dikit dan itu2 aja.",3
katanya gratis kok dibayar lihat main sepak bola,2
filim flim dari tivi seru banget,5
"kenapa ya kalau mau hapus notif vidio ni tiba tiba layarnya jadi hitam trus hilang, pas mau buang aplikasi ternyata yang layar hitam tadi dari vidio. risih bgt jadi aku nonaktifin notif si vidio",4
iklan nya gk ngotak jdi males nontonnya,1
Oke bang custom careety,4
"Gua masih pertahankan Vidio di hp gw karena mau nonton Mamah dan Aa. Tapi skrg mau nonton itu malah iklan terus, mana dua menit pula iklannya... lu pikir waktu gua download apk cuma buat nontonin iklan?",1
"paling nyebelin ketika langganan langsung di potong shopepay , tanpa pemberitahuan dulu , bangke",1
"tolong diperbaiki subtitlenya. kadang ukuran fontnya berubah dari kecil ke besar saat melihat notifikasi atau saat keluar dari aplikasi, kemudian masuk kembali dia akan besar ke kecil, tidak konsisten",1
kenapa file vidio yang saya download hilang semua padahal jelas tersimpan sehingga memori hp saya penuh tolong diperbaiki,2
iklan sampek 2 mt. lama iklan dari pada filem. itu lah bodohnya siaran TV.,1
kenapa gaada opsi premium pake pulsa min,1
ok,5
knp sering blur hitam,1
mantap,5
suka nonton tapi kok kadang gambarnya jelek,5
Astagfirullah banyak banget iklannya padahal aku pakai vidio cuman buat nonton sinetron aja karena tv ku gada Parah nih adminnya masa nma gw serly mlah dipanggil embun dewi,2
nonton siaran TV simple lewat hp aja tq 🥰,5
suka lag,1
"kenpa akhir"" ini saya mau nonton selalu loading tidak bisa dibuka padahal jaringan saya bagus"" ajh",2
"ampun dah nyesel juga beli paketnya gua kira bakalan enak nontonnya, lah ini putar video loading lemot, iklan berhamburan, dan udah di download masih aja loading lama. cukup sekali gua beli paket asli nyesel",1
ka maaf aplikasi video saya kenapa ga bisa diputer ya semingguan ini? saya mau nonton film gabisa terus. tolong dong kak,2
Tez,5
"aplikasi sangar merugikan,saya tidak membeli paket langganan dibulan ini tapi tiba tiba saldo saya berkurang karna membeli paket langganan, padahal saya tidak merasa melakukan transaksi",1
nice,5
please bantu jawab .. gmna caranya. aku sudah beli premium dari celcom (paket Malaysia) tpi KNPA sudah success TPI pas mau masukin nmer ke aplikasi vidio malah minta nmer Indonesia.. aku mana punya nmer Indonesia karna aku di Malaysia.. trus gmna dong kalau g bisa verifikasi nmer Indonesia hangus dong paket ku 😭😭 please bantu jawab,2
film nya keren,5
oke,5
cuma mau saran aja bisa tambahkan dong film horor nya development itu aja sih saran dari aku soal nya aku suka film horror,4
parah padahal saya memperpanjang otomatis langganan. tapi dengan seenaknya memotong saldo dana saya dengan berlangganan paksa. parah,1
"nonton live mesti bayar, trus klik Chanel tv Trans7 malah pindah ke SCTV",1
Mantap aplikasinya,5
I like,5
aplikasi vidio ini paling bagus dan lancar coneksinya,5
"smph srg bgt nge bug, masa aku dikasih iklan doang, trs di ksh lha agz ny blm 10 ak nntn udh iklan jd mnrt iklan ny g ush di tonton kalian keluar trs hps klo udh 5 mnt blk lg",1
bahagia di awal kecewa banget di akhir,1
Napa muter² muluuuu,2
vidio di tv tcl ga bisa di buka lemot,1
"Bagus² filmnya, aplikasi vidio bagus, aku suka, aku kesini gara² film friendly rivalry, terus coba dengan film² yg lain juga bagus.",5
video makin jaya dan memuaskan.,5
"tolong bantu jawab, saya berlangganan VIP platinum mobile di apk myXL. tetapi waktu saya mau claim tidak bisa, bagaimana ya? tolong tindak lanjuti",3
sukaaa,5
Aplikasi ini tiba tiba mengambil dana saya tanpa sepengetahuan saya,1
terlalu banyak iklan,3
Otomatis pembeliam Tanpa konfirmasi. PERBAIKI!,1
dana aku di tarik tanpa sepengetahuanku aku krm email respon cuma suruh batalin doang tapi dana yg ke tarik sendiri tidak di kembalikan,1
arisan di trans 7 tidak bisa ditayang kan,3
film¹ nya sangat lengkap,5
good 👍,5
seriesnya banyak yang bagus tapi sekarang tetap ada iklan walaupun sudah beli paketannya👎,2
"apkny gmn sih..dftar platinum d saldo google play dh kpotong,,tp d apk keterangan blm berlangganan.. tlng dong d perbaiki..",4
ga bisa masuk pakai no HP telkomsel. disuruh pake email terus. sebel ih,2
aplikasi nya bagus banget 👍🏻👍🏻👍🏻👍🏻,5
"sering log out sendiri, capek bolak balik input email sama pw.",3
bagus deh,5
Terima kasih,5
verifikasi sulitttt,1
sangat senang dengan aplikasi inii,5
kenpa berapa hari ini aku gagal terus sllu dibilang error untuk pembayaran langganan kak,2
"mau nambah paket adds on seri A koq bilang saldo google play nggak cukup terus, padahal pulsa google sudah saya isi. tp tertulisnya di vidio masih saldo lama.",5
bagus banget,5
tolong iklan nya banyak banget deh kesel banget deh,1
"saya sangat terhibur sekali dengan adanya aplikasi video ini jadi bisa nonton apa saja yg kita sukai, dan tidak takut ketinggalan acara tv pokoknya 💯 jempol buat aplikasi video 🔥🔥🔥🔥🔥🔥",5
ngefreeze,1
"ini aplikasi vidio kenapa sekarang ga bisa login lewat no hp ya ??? selalu suruh login lewat google,. sia sia dong gua langganan ---- aku ubah ulasannya jadi ⭐5 soalnya sudah ngasih solusi lewat email dan sekarang berhasil login , makasih admin.",5
"Hai untuk pihak developer nya, saya kembali dengan mengedit ulasan ini, sejauh ini aplikasi ini berjalan dengan baik, TV, sports, movie, film, hiburan ada jadi saya cuma mau bilang supaya lebih ditingkatkan lagi, dan problem problem masalah aplikasi nya biasa saya pake biasa kalau sudah dari iklan aplikasi vidio nya kadang kala dia jadi layar hitam terus terhenti videonya makanya itu yang di perbaiki ya, saya juga sebelumnya sudah mengirimkan email ke vidio, Terima kasih atas balasannya ya",5
bonus premium dari xl ga bisa di claim,1
bagus,5
sdh beli paket kenapa tidak bisa nonton trans7,1
makin lama makin sedikit kegunaannya,1
sydah berlangganan premium tapiasih aja ada iklannya,1
"beli buat nonton timnas malah eror plus live timnas ilang sisa reaction, ngapain beli kalo cuma nonton reaction",1
Sangat bagus,5
cara update versi terbaru di smart tv,5
"gak ada cara berhenti langganan, saya sengaja bulan kemarin gak isi gopay biar tidak terbayar, eh bulan ini malah otomatis bayar. saya merasa dirugikan. harusnya konfirmasi dulu baru bayar . ini kok maksa ya",1
bayar mahal iklan nya selangit,1
kurang bagus,1
sangat bagus,5
gak ad rcti,1
baik aja,5
baik sekali,5
agak nyesel buat beli langananya karna gk bisa nonton timnas Indonesia.karna saya beli untuk nonton timnas ternyata tidak bisa,2
"ga guna gaada RCTI lol aplikasi,mau nonton Indonesian gaada siarannya najis",1
"mau nonton timnas malah nonton orang nonton bola, najis. ada yg komen nonton aja di rcti, EH EMANG LU KATA SEMUA ORANG NONTON TV?",1
Penipu kata bisa melihat Indonesia vs jepang udh di download pencarian pun gak ada,1
TOLOL ORANG MAU NONTON TIMNAS MAALAH ERROR,1
gabisa nonton bola🥲,1
"coba tayangkan kalo Indonesia main,aplikasi di Indonesia giliran timnas Indonesia main ga di siarkan,.. klo ga bisa hapus aja aplikasi!!!",1
Sudah berjalan dengan baik 👍🏻,5
bagus sih sayang rcti engga ada jadi engga bisa nonton siaran bola 🤦🤦🤦,3
kenapa skrng paket replay vidio gaada yaa?,4
cukup puas sukses selalu,1
mohon paket berlangganan jangan terlalu mahal,3
"siaran BWF nya tdk ada, cuman Hightlight saja padahal sudah langganan",2
jelekk saya tidak berlangganan tiba2 uang d tarik dari transferan...mna ga d balikin lgi uang nyaa rugi bgtt,1
ini apk gratis yg pernah ku nonton seru,5
"apasih gw udah langganan pake nomor hp, ketika mau login pake nomor hp yg udah langganan malah gabisa mana udah bayar mahal mahal, giliran pake nomor yang bersih tanpa langganan bisa dan aman aman aja, pas pake nomor yang sudah berlangganan alasannya saat ini login dengan nomor hp tidak tersedia, mksd lu apaan mo bkin org rugi?nipu bgt ni apk klo langganan mkir mkir dlu deh gamau rugi bgt, nipu pelanggan",1
ngga bisa buka indosiar kenapa ya ?,5
"Sudah klaim paket Platinum, bonus dari Xtra Combo VIP di my XL. sudah memasukkan nomor sesuai dengan nomor yang saya gunakan. Ketika login di aplikasi Vidio, paketnya tidak masuk. KECEWA",1
saya udah beli pekat langganan di XL dengan no XL tapi kenapa gak bisa login malah disuruh login pake gmail rugi saya beli tapi gak bisa login,1
akhir ini sangat jelek. suka iklan padahal sudah berbayar 1 bulan. dan aplikasi suka eror tiba tiba,1
tiba tiba banget gabisa nontom muter mulu terus ada tulisan sinyal eror lah kocak apaan coba orang buat nonton di apk lain lancar lancar aja gajelas nih apk lama lama,1
bagus,5
"assalamualaikum warahmatullahi wa Barokatu, saran saya aplikasi ini sangat bagus dan banyak sekali berbagai flm",5
ko ga ada siaran TV RCTI ya..,3
"sudah berlangganan agar bisa nonton timnas, tetapi channel RCTI tidak ada",1
sangat baik,5
versi lawas.,5
Pembayaran nya ribet,3
sempurna,5
mantul,5
GOOD,5
aplikasi bagus banget,5
"aplikasi buruk,,udh saya beli paket nya tapi gak bisa di tonton,,4 kali saya kejadian,",1
Mantap,5
𝑜𝑘 🤫😘😘😘😍😍😍,5
bagus,3
iklan nya bnyak bgt,1
bintang lima klo nonton film gratis atau cukup bayar pake kuota....habisnya indo khususnya bagi saya lagi pailit,1
"Sempat ada kendala untuk mengaktifkan paket Platinum yang dibeli lewat Telkomsel, lalu hubungi Customer Service lewat email dan langsung dibalas. Lupa untuk konfirmasi kalau masalahnya sdh beres. Anw, pelayanan customer-nya oke. Sigap dan tanggap membantu kendala pelanggan. Daftar acaranya juga sangat variatif dan biaya langganannya terjangkau, apalagi masuk paketan di Telkomsel. Terima kasih.",5
senang sekali,5
bagus sekali aplikasi ini.,5
kalau mau nonton video harus di bayar lagi,2
"jelek, bayar terus",1
"Gtv sma rcti knpa ga ada ya, msh kurang lengkap",2
"capek banget tau gak, padahal udh langganan platinum mobile 30 hari bulan mei dan Juni ini,ada riwayat transaksinya juga, tapi masih tertera kadaluarsa, di klik di riwayat transaksinya nonton sekarang gk ada perubahan ke paket platinum yg ada malah suruh langganan ulang, bangke lah capek banget utak atik sampe hapus cache & uninstall dan instal lagi tapi gk ada perubahan langganan nya",1
beli kuota XL dapet akses vidio tapi pas coba login pake nomor XL nggak bisa.,1
mantap,5
"min tambahin dong chanel RCTI kek dulu lagi, kalo ada chanel RCTI aku bakalan tambahin bintang 4 pas jadi bintang lima",1
beli pake nya susah,5
4 bintang aja yeah...🙏,4
"tolong kembalikan uang saya, tiba"" ketarik otomatis di akun dana saya senilai. 43.230 itu sepertinya tidak sengaja kepencet vitur langgananya saya mohon kembalikan uang saya,saya sangat membutuhkanya🙏",1
Aplikasinya bagus moga berkembang lebih baik dan secara gratis jangan setiap nonton harus bayar bayar gitu ya aku Download aplikasi ini karna gak punya tv dan tolong juga Mb download nya jangan di besarin terus ya 🙏🙏,3
Gak ada paket premiere league all screen 1 tahun,3
ok banget acara acaranya,5
"di aplikasi TV Luar negeri banyak Free Moviesnya dan Bantuan terjemahan bahasanya, di Aplikasi Vidio nonton TV Nasional saja harus bayar, nggak ada Free Moviesnya sama sekali, kemungkinan Pelanggan akan berpindah ke Aplikasi Luar negeri semua.",1
apk ini bagus tapi bisa gak buat fitur offline,5
antv kemana kok gak ada,1
bagus bgt filem nya banyak pilihan nya lagi,5
sangat bagus untuk kalian yang suka drama karna banyak pilihan bagus bagus kalian wajib download sekarang,5
"vidio nya kayak tv sih. cuman, gak ada saluran gtv nya. dan juga asmara gen z bayar lagi pula. plis di update lagi dong min 😢",4
the best,5
buffering mlu,1
saya sudah tidak lngganan aplikasi sudah di hapus tiba tiba ngambil uang dana saya buat bayar paket tanpa pemberitahuan,1
"gada Ejen ali movie 2, hapus aja apk nya",1
bagus,5
sering tertipu saat beli paket. sepertinya sengaja disetting seperti itu.,1
"Lah saya beli paketnya BWF+all spotv masa gk bisa nonton badminton Indonesia open, kacau-kacau :(",1
sengaja beli paket BWF mau nonton indonesia open malah gak ada live nya parah,1
"Channel ini penipu, kirain bisa nonton yg diiklannin ternyata pas acaranya mau mulai linknya ga ada, Aku kan bayar 30 ribu ya, kirain bisa nonton Indonesia Open dan Rolland Garos, ternyata ga, kl harus beli lagi mending langganan channel yg all in one dong ya, semoga channel ini cepat mati.",1
tk kasi bintang 5 langsung,5
kok saya sudah berlangganan melalui bonus paket di my xl tapi langganan nya tidak aktif,3
nggk ada rcti,1
bisa nonton dimana dan kapan saja,5
jelek iklan mulu,1
skippp aplikasi rusak bnyk error,1
sudah membayar tapi kita harus nonton pakai wifi atau data seluler percuma dong bayar tapi tidak offline,1
"haduh udah premium, platinum, kalau vidionya gabisa diplay gini gmn? percuma dong duitnya. sinyal wifi lancar, scroll tiktok, buka app online lain lancar. bahkan sudah coba reboot I hope bisa ngeplay, ya tapi sama aja? gimana tuh? 😂",1
harus bayar,1
ada film India nya ga kak?,3
"buat notif jgn terlalu panjang dong, ganggu banget gua lagi ngerank kepencet notif malah relog goblok. gua apus ni aplikasi ga guna",1
Ini aplikasi nya bagus banget aku suka banget ada banyak cerita terus aku jadi terhibur makasih banyak ya buat vidio semoga terus berjalan lancar ya 😊😊😊,5
"popup awal ""Paket spesial untukmu"" sangat mengganggu karena gk bisa di close. sy sudah beli pkt yah. developernya harus perhatikan lagi UI/ UX nya.",1
"Aplikasi gak jelas! Saya berlanganan paket platinum mobile tapi tetep ga bisa nonton! Kocak, mending cepet bangkrut dah lu",1
"udah berlangganan yang platinum malah ga bisa nonton film nya disuruh berlangganan lagi, aplikasi ga jelas buang buang duit",1
ga bisa masuk pake nomor tlp,1
"kebanyakan iklan, baru mulai ada iklan, 2 menit an lagi ada iklan",1
koleksi film sangat sedikit,1
panik busuk matilah,1
pliss tambahin tv show acara GTV sama MNCTV🙏🙏🙏,5
seru banget lihat film di vidio,5
suka🥰🥰🥰,5
dari awal nyoba paket nonton. tidak ada pilihan paket diperpanjang otomatis. buang2 pulsa saat lagi tak butuh perpanjangan. pilihan batalkan paket agar tidak diperpanjang otomatis hanya ada setelah paket aktif. sebaiknya dari awal beli paket ada pilihan mau diperpanjang otomatis atau tidak. atau lebih baik tidak ada opsi perpanjang otomatis!,1
lag,1
knp harus berlangganan dulu sih baru bisa nonton,2
tiba tiba berlangganan,1
"ribet amat padahal mau paketin juga, kadang gagal terus",1
bagus cuman kadang lemot padahal sudah premium,5
senang bisa nonton sinetron yang ditayangkan,5
udah berlanggan saldo juga udah kepotong ttep ae disuruh beli paket,1
"udah bayar buat nonton ancika malah gaada ""(",1
buat pengguna hati hati dengan sistem paket langganannya. tanpa seizin kita tiba2 saldo kita terpotong.,1
susah login,1
Uwow,5
oke,5
terlalu banyak iklan yang menggangu tolong di blokir iklanya,1
aku download ini cuman buat nonton timnas,5
sangat berguna,5
"Orang MW nonton live bola yg di kasi cuman live reaction, mana udah langganan",1
saran dong ko punyaku gabisa buķa film yah pdhl sinyal bagus,4
Sudah berlangganan tapi tidak menyediakan streaming sepak bola Indonesia vs China bodoh,1
lumayan,4
Apk tolol live timnas gak ada,1
Apk tai lu,1
saya udah bayar mahal mahal buat nonton laga Indonesia vs china kok malah live reaction.sungguh kecewa dengan aplikasi ini😡,1
MANTEPPPO BANGETTTTT COGGGG INIII APLIKASIII GOKILLLLLLLLLL,5
gajelasss subtitle nya selalu ada ga ada di ulang ulang sm aja kadang ada kadang ga gajelas mau nonton aja ribet amat udh ma banyak iklan subtitle gjls lagi,1
paket aktif tpi tdk dpt di akses,1
mantap,4
ok,5
"sudah berlangganan bulanan, tapi iklan masih sering muncul 😑😑",1
"mantap ,sudah ada fitur hapus riwayat tonton,akhirnya keluuh kesah gua didengar sama develepornya👍",5
saya sekali channel TV RCTI dan INews tidak ada,2
"bagus nih, tapi mohon maaf akhir akhir ini apk nya sering susah konek ke internet padahal jaringan bagus, mau login juga susah kenapa ya ?",5
"gw gatau kenapa akhir akhir ini setiap mau nonton selalu buffering terus malah merembet ke apk"" lain, padahal wifi gw terbilang lancar buat scroll ig/YouTube juga lancar tapi pas mulai mau lanjutin nonton series ada aja yang tiba"" error, aneh lama"" sistem nya..",1
"lagi lagi terjadi, Apa apan in ak beli paket VIP plus dari my xl,tapi g bisa di klaim paket premium nya **dan terulang lagi, lagi lagi paket video platinum nya tdk bisa di pake pdhl udh di claim, tapi tulisan nya belum memiliki paket ,yg bener aja😡😡",1
"aneh, ada saldo di gopay niat mau pake, eh malah kepotong buat berlangganan otomatis vidio, mana jam 3 lagi ke potong nya",1
